title,keywords,session_year,supervisor_name,category
Longitudinal Investigation of Effect of Male Partner Involvement on Maternal Health Service Utilization in Osun State Communities Among Residents of Ejigbo Local Government,"male involvement, maternal health, service utilization, Osun State, partner",2019,Dr. Okonkwo,Maternal & Child Health
Factors Associated with Recurrent Malaria Episodes Among Under-Five Children in Osun State Communities,"recurrent malaria, under-five, risk factors, Osun State, episodes",2018,Dr. Okonkwo,Infectious Diseases
Survival Analysis of Time-to-Death Among HIV Patients on Antiretroviral Therapy in Osun State,"survival analysis, HIV, antiretroviral therapy, time-to-death, Osun State",2020,Prof. Onyeka,Biostatistics
Community-Based Study on Prevalence of Overweight and Obesity Among Residents of Ilesha Local Government,"overweight, obesity, adolescents, secondary school, Osogbo",2020,Prof. Obiora,Epidemiology
Prevalence of Birth Asphyxia and Contributing Factors in Neonatal Units of Osun State Hospitals,"birth asphyxia, prevalence, neonatal, contributing factors, Osun State",2022,Prof. Adeleke,Maternal & Child Health
A Cross-Sectional Study of Survival Analysis of Time-to-Death Among Residents of Boripe Local Government,"survival analysis, HIV, antiretroviral therapy, time-to-death, Osun State",2017,Dr. Oluwaseun,Biostatistics
A Descriptive Analysis of Prevalence and Risk Factors of Hypertension Among Residents of Ife East Local Government,"hypertension, prevalence, risk factors, adults, Osun State",2022,Dr. Akinwande,Epidemiology
Anemia in Pregnancy Prevalence and Its Effect on Birth Outcomes in Southwest Nigerian Hospitals,"anaemia in pregnancy, birth outcomes, Southwest Nigeria, hospitals, prevalence",2022,Dr. Chukwu,Maternal & Child Health
An Exploratory Analysis of Assessment of Toilet Facilities Adequacy and Sanitation-Related Diseases in Rural Osun Communities Among Residents of Ede Local Government,"toilet facilities, sanitation, rural, diseases, assessment",2022,Prof. Eze,Environmental Health
A Descriptive Analysis of Epidemiology of Salmonella Infections and Outbreak Investigation in Osun State Communities Among Residents of Boripe Local Government,"Salmonella, infections, outbreak investigation, Osun State, epidemiology",2016,Dr. Abiodun,Infectious Diseases
An Exploratory Analysis of Evaluation of Drinking Water Treatment Practices in Households of Peri-Urban Osun State Communities Among Residents of Ilesa Local Government,"drinking water, treatment practices, households, peri-urban, Osun",2019,Dr. Okonkwo,Environmental Health
A Descriptive Analysis of Assessment of Meningitis Outbreak Response and Control Measures in Northern Osun Communities Among Residents of Iwo Local Government,"meningitis, outbreak, response, control, Osun",2021,Dr. Olayinka,Epidemiology
Longitudinal Investigation of Evaluation of Drinking Water Treatment Practices in Households of Peri-Urban Osun State Communities Among Residents of Osogbo Local Government,"drinking water, treatment practices, households, peri-urban, Osun",2018,Prof. Eze,Environmental Health
Retrospective Review of Impact of Flooding Events on Waterborne Disease Incidence in Osun State Flood Corridors Among Residents of Ede Local Government,"flooding, waterborne disease, incidence, Osun State, flood corridors",2018,Prof. Adewale,Environmental Health
A Descriptive Analysis of Gender-Responsive Health Policy Analysis and Women Empowerment in Osun State Communities Among Residents of Ejigbo Local Government,"gender-responsive, health policy, women empowerment, Osun, analysis",2016,Prof. Fasola,Health Policy
Contact Tracing Effectiveness and Outcomes in Tuberculosis Case Detection in Osun State Nigeria,"contact tracing, tuberculosis, case detection, outcomes, Osun State",2019,Dr. Igwe,Infectious Diseases
A Cross-Sectional Study of Determinants of Skilled Birth Attendance Utilization Among Residents of Iwo Local Government,"skilled birth attendance, determinants, parturient women, Osun State",2017,Prof. Adebayo,Maternal & Child Health
Retrospective Review of Assessment of Health Sector Decentralization Policy Outcomes in Southwest Nigerian Local Governments Among Residents of Ejigbo Local Government,"decentralization, health sector, local government, policy outcomes, Nigeria",2022,Dr. Chukwu,Health Policy
Retrospective Review of Contact Tracing Effectiveness and Outcomes in Tuberculosis Case Detection in Osun State Nigeria Among Residents of Ejigbo Local Government,"contact tracing, tuberculosis, case detection, outcomes, Osun State",2019,Dr. Folarin,Infectious Diseases
Comparative Study of Knowledge Attitude and Practice Regarding Lassa Fever Prevention Among Residents of Iwo Local Government,"Lassa fever, knowledge, attitude, practice, healthcare workers",2021,Dr. Agboola,Infectious Diseases
A Descriptive Analysis of Factor Analysis of Health System Barriers to Maternal Healthcare Utilization in Rural Osun State Among Residents of Osogbo Local Government,"factor analysis, health system barriers, maternal healthcare, rural, Osun",2016,Dr. Olayinka,Biostatistics
Longitudinal Investigation of Cluster Analysis Identification of High-Risk Communities for Malaria in Osun State Using Health Data Among Residents of Ede Local Government,"cluster analysis, high-risk communities, malaria, health data, Osun State",2016,Prof. Adewale,Biostatistics
An Exploratory Analysis of Environmental Health Impact Assessment of a Proposed Industrial Estate in Osun State Nigeria Among Residents of Osogbo Local Government,"environmental health impact, industrial estate, assessment, Osun State, Nigeria",2021,Prof. Onyeka,Environmental Health
An Exploratory Analysis of Analysis of Task-Shifting Policy for Health Workers in Low-Resource Settings of Southwest Nigeria Among Residents of Ilesha Local Government,"task-shifting, health workers, low-resource, policy, Southwest Nigeria",2022,Dr. Igwe,Health Policy
Hospital-Based Assessment of Climate Change Perceptions and Health Adaptation Strategies Among Residents of Ede Local Government,"climate change, health adaptation, farmers, perceptions, Osun State",2022,Prof. Onyeka,Environmental Health
An Exploratory Analysis of Effect of Hospital Autonomy Policy on Service Delivery Quality in Osun State General Hospitals Among Residents of Iwo Local Government,"hospital autonomy, service delivery, quality, policy, Osun State",2016,Prof. Adewale,Health Policy
An Exploratory Analysis of Environmental Health Impact Assessment of a Proposed Industrial Estate in Osun State Nigeria Among Residents of Ede Local Government,"environmental health impact, industrial estate, assessment, Osun State, Nigeria",2019,Dr. Salawu,Environmental Health
A Descriptive Analysis of Application of Poisson Regression in Modelling Infectious Disease Count Data in Nigeria Among Residents of Ejigbo Local Government,"Poisson regression, infectious disease, count data, modelling, Nigeria",2017,Prof. Nwosu,Biostatistics
Hospital-Based Assessment of Factors Associated with Recurrent Malaria Episodes Among Residents of Ife East Local Government,"recurrent malaria, under-five, risk factors, Osun State, episodes",2021,Prof. Onyeka,Infectious Diseases
Community-Based Study on Review of Immunization Policy Compliance and Vaccination Coverage in Osun State Communities Among Residents of Ilesha Local Government,"immunization policy, compliance, vaccination coverage, Osun, communities",2016,Prof. Emeka,Health Policy
Assessment of Household Water Quality and Waterborne Disease Risk in Peri-Urban Osogbo Nigeria,"water quality, household, waterborne disease, peri-urban, Osogbo",2020,Prof. Ogunleye,Environmental Health
Longitudinal Investigation of Political Determinants of Health Budget Allocation in Osun State Government Annual Estimates Among Residents of Ejigbo Local Government,"health budget, political determinants, allocation, Osun State, government",2020,Prof. Nwosu,Health Policy
Comparative Study of Tuberculosis Treatment Default Rate and Associated Factors in DOTS Centres Osun State Nigeria Among Residents of Ilesha Local Government,"tuberculosis, treatment default, DOTS, Osun State, associated factors",2022,Dr. Oluwaseun,Infectious Diseases
Community-Based Study on Prevalence of Postpartum Depression and Associated Risk Factors Among Residents of Ife South Local Government,"postpartum depression, prevalence, risk factors, mothers, Osogbo",2020,Prof. Onyeka,Maternal & Child Health
Hospital-Based Assessment of Community-Level HIV Stigma and Its Effect on Treatment Adherence Among Residents of Iwo Local Government,"HIV stigma, treatment adherence, community, PLHIV, effect",2016,Prof. Fasola,Infectious Diseases
A Cross-Sectional Study of Pattern of Morbidity and Mortality from Communicable Diseases in Osogbo Metropolis Among Residents of Ife North Local Government,"morbidity, mortality, communicable diseases, Osogbo, pattern",2022,Prof. Adewale,Epidemiology
Household Air Quality Monitoring and Respiratory Outcomes in Low-Income Areas of Osogbo Nigeria,"household air quality, respiratory outcomes, low-income, monitoring, Osogbo",2017,Prof. Nwosu,Environmental Health
A Cross-Sectional Study of Obstetric Complications and Emergency Referral Patterns at UNIOSUN Teaching Hospital Osogbo Among Residents of Boripe Local Government,"obstetric complications, emergency referral, UNIOSUN, teaching hospital, Osogbo",2017,Prof. Afolabi,Maternal & Child Health
An Exploratory Analysis of Mixed-Effects Modelling of Longitudinal Blood Pressure Data Among Residents of Osogbo Local Government,"mixed-effects model, longitudinal, blood pressure, hypertension, Osogbo",2019,Dr. Nnamdi,Biostatistics
Environmental Assessment of Noise Pollution and Hearing Loss Risk Near Industrial Zones in Osogbo,"noise pollution, hearing loss, industrial zones, environmental assessment, Osogbo",2019,Prof. Fasola,Environmental Health
A Cross-Sectional Study of Assessment of Kangaroo Mother Care Practice and Neonatal Outcomes in Osun State Hospitals Among Residents of Ede Local Government,"kangaroo mother care, neonatal outcomes, practice, Osun State, hospitals",2015,Dr. Igwe,Maternal & Child Health
Retrospective Review of Analysis of Task-Shifting Policy for Health Workers in Low-Resource Settings of Southwest Nigeria Among Residents of Osogbo Local Government,"task-shifting, health workers, low-resource, policy, Southwest Nigeria",2020,Prof. Okafor,Health Policy
A Cross-Sectional Study of Child Immunization Coverage and Barriers to Vaccine Uptake in Osun State Local Government Areas Among Residents of Osogbo Local Government,"immunization, coverage, barriers, vaccine uptake, Osun State",2017,Dr. Nwachukwu,Maternal & Child Health
A Descriptive Analysis of Kaplan-Meier Analysis of Survival Among Residents of Boripe Local Government,"Kaplan-Meier, survival analysis, tuberculosis, DOTS, Osun State",2020,Prof. Okafor,Biostatistics
Comparative Study of Infant and Young Child Feeding Practices Among Residents of Boripe Local Government,"infant feeding, young child, practices, urban mothers, Osogbo",2017,Dr. Olayinka,Maternal & Child Health
An Exploratory Analysis of Knowledge and Practice of Family Planning Methods Among Residents of Ejigbo Local Government,"family planning, knowledge, practice, married women, Ife Central",2021,Prof. Adeoti,Maternal & Child Health
Retrospective Review of Cluster Analysis Identification of High-Risk Communities for Malaria in Osun State Using Health Data Among Residents of Iwo Local Government,"cluster analysis, high-risk communities, malaria, health data, Osun State",2020,Dr. Babatunde,Biostatistics
An Exploratory Analysis of Sanitation Conditions and Hygiene Practices in Public Primary Schools of Osun State Nigeria Among Residents of Ife East Local Government,"sanitation, hygiene, primary schools, public schools, Osun State",2021,Dr. Olayinka,Environmental Health
Trend Analysis of Tuberculosis Case Notifications in Osun State Over a Ten-Year Period,"tuberculosis, trend analysis, case notification, Osun State",2015,Prof. Adebayo,Epidemiology
Retrospective Review of Evaluation of Drinking Water Treatment Practices in Households of Peri-Urban Osun State Communities Among Residents of Ife North Local Government,"drinking water, treatment practices, households, peri-urban, Osun",2018,Prof. Okafor,Environmental Health
Impact of Flooding Events on Waterborne Disease Incidence in Osun State Flood Corridors,"flooding, waterborne disease, incidence, Osun State, flood corridors",2020,Dr. Agboola,Environmental Health
An Exploratory Analysis of Indoor Air Pollution from Biomass Fuel Use and Respiratory Health Among Residents of Ejigbo Local Government,"indoor air pollution, biomass fuel, respiratory health, women, rural",2022,Dr. Adeyemi,Environmental Health
Retrospective Review of Factors Influencing Insecticide-Treated Net Use Among Residents of Ilesha Local Government,"insecticide-treated net, household, malaria prevention, rural, Osun",2016,Prof. Obiora,Infectious Diseases
A Cross-Sectional Study of Community-Level HIV Stigma and Its Effect on Treatment Adherence Among Residents of Boripe Local Government,"HIV stigma, treatment adherence, community, PLHIV, effect",2018,Dr. Oluwaseun,Infectious Diseases
An Exploratory Analysis of Burden of Non-Communicable Diseases Among Residents of Ilesa Local Government,"non-communicable diseases, burden, middle-aged, Southwest Nigeria",2015,Dr. Olayinka,Epidemiology
Hospital-Based Assessment of Community-Level HIV Stigma and Its Effect on Treatment Adherence Among Residents of Boripe Local Government,"HIV stigma, treatment adherence, community, PLHIV, effect",2022,Dr. Igwe,Infectious Diseases
Community-Based Study on Environmental Health Impact Assessment of a Proposed Industrial Estate in Osun State Nigeria Among Residents of Ejigbo Local Government,"environmental health impact, industrial estate, assessment, Osun State, Nigeria",2016,Prof. Eze,Environmental Health
A Descriptive Analysis of Contact Tracing Effectiveness and Outcomes in Tuberculosis Case Detection in Osun State Nigeria Among Residents of Ejigbo Local Government,"contact tracing, tuberculosis, case detection, outcomes, Osun State",2016,Dr. Babatunde,Infectious Diseases
A Cross-Sectional Study of Evaluation of Rapid Diagnostic Test Use for Malaria Case Management in Osun Primary Health Centers Among Residents of Ife East Local Government,"rapid diagnostic test, malaria, case management, primary health, Osun",2016,Dr. Akindele,Infectious Diseases
A Cross-Sectional Study of Assessment of Household Water Quality and Waterborne Disease Risk in Peri-Urban Osogbo Nigeria Among Residents of Ife North Local Government,"water quality, household, waterborne disease, peri-urban, Osogbo",2019,Dr. Oluwaseun,Environmental Health
An Exploratory Analysis of Factor Analysis of Health System Barriers to Maternal Healthcare Utilization in Rural Osun State Among Residents of Ife South Local Government,"factor analysis, health system barriers, maternal healthcare, rural, Osun",2022,Dr. Adeyemi,Biostatistics
National Health Act Implementation Status and Implications for Healthcare Delivery in Nigeria,"National Health Act, implementation, healthcare delivery, Nigeria, implications",2020,Dr. Akinwande,Health Policy
Longitudinal Investigation of Sensitivity and Specificity Analysis of Diagnostic Tests for Malaria in UNIOSUN Teaching Hospital Among Residents of Osogbo Local Government,"sensitivity, specificity, diagnostic tests, malaria, UNIOSUN",2017,Dr. Nwachukwu,Biostatistics
Epidemiology of Road Traffic Injuries and Fatalities in Urban Communities of Southwest Nigeria,"road traffic injuries, fatalities, urban, epidemiology, Southwest",2020,Dr. Salawu,Epidemiology
Comparative Study of Multilevel Modelling of Determinants of Child Mortality in Southwest Nigerian Communities Among Residents of Ife South Local Government,"multilevel modelling, child mortality, determinants, Southwest Nigeria, biostatistics",2016,Prof. Ogunleye,Biostatistics
Policy Analysis of Community Health Extension Worker Deployment in Rural Osun State Communities,"CHEW, deployment, health policy, rural, community health",2018,Prof. Okafor,Health Policy
An Exploratory Analysis of Epidemiological Assessment of Childhood Pneumonia Cases in UNIOSUN Teaching Hospital Outpatients Among Residents of Ife East Local Government,"pneumonia, childhood, epidemiology, teaching hospital, outpatients",2020,Prof. Bankole,Epidemiology
Retrospective Review of Antibiotic Resistance Patterns of Bacterial Isolates from Urinary Tract Infections in Osun Hospitals Among Residents of Ilesa Local Government,"antibiotic resistance, bacterial isolates, urinary tract infection, Osun, hospitals",2017,Dr. Igwe,Infectious Diseases
Community-Based Study on Malaria Parasite Density and Treatment Outcomes Among Residents of Ede Local Government,"malaria, parasite density, treatment outcomes, children, UNIOSUN",2021,Prof. Adebayo,Infectious Diseases
Effect of Hospital Autonomy Policy on Service Delivery Quality in Osun State General Hospitals,"hospital autonomy, service delivery, quality, policy, Osun State",2017,Prof. Afolabi,Health Policy
An Exploratory Analysis of Prevalence of Postpartum Depression and Associated Risk Factors Among Residents of Ilesa Local Government,"postpartum depression, prevalence, risk factors, mothers, Osogbo",2015,Prof. Bankole,Maternal & Child Health
An Exploratory Analysis of Chemical Pesticide Use Patterns and Chronic Health Effects Among Residents of Ife East Local Government,"pesticide, chemical exposure, agricultural workers, chronic health, Osun",2019,Prof. Afolabi,Environmental Health
Community-Based Study on Time Series Analysis of Seasonal Malaria Trends in Osun State Using ARIMA Models Among Residents of Ife South Local Government,"time series, ARIMA, seasonal malaria, trends, Osun State",2022,Prof. Adewale,Biostatistics
Hospital-Based Assessment of Maternal Mortality Ratio and Causes of Death in Osun State Teaching Hospitals from 2015 to 2020 Among Residents of Boripe Local Government,"maternal mortality, causes of death, teaching hospital, Osun State, ratio",2018,Prof. Adebayo,Maternal & Child Health
Community-Based Study on Sanitation Conditions and Hygiene Practices in Public Primary Schools of Osun State Nigeria Among Residents of Ife South Local Government,"sanitation, hygiene, primary schools, public schools, Osun State",2019,Prof. Adewale,Environmental Health
Longitudinal Investigation of Epidemiology of Mental Health Disorders Among Residents of Ilesa Local Government,"mental health, epidemiology, adults, general hospital, disorders",2019,Dr. Adeyemi,Epidemiology
Community-Based Study on COVID-19 Infection Patterns and Mortality Outcomes in Osun State Isolation Centers 2020-2021 Among Residents of Ife South Local Government,"COVID-19, infection patterns, mortality, isolation centers, Osun State",2016,Dr. Adeyemi,Infectious Diseases
Comparative Study of Intestinal Parasitic Infections Among Residents of Ife North Local Government,"intestinal parasites, schoolchildren, environmental risk, infections, Osun",2021,Prof. Fasola,Infectious Diseases
Retrospective Review of Regulatory Framework for Traditional Medicine Practice in Osun State Health Policy Context Among Residents of Ilesha Local Government,"traditional medicine, regulation, policy, Osun State, practice",2015,Prof. Fasola,Health Policy
Retrospective Review of Prevalence of Birth Asphyxia and Contributing Factors in Neonatal Units of Osun State Hospitals Among Residents of Ilesha Local Government,"birth asphyxia, prevalence, neonatal, contributing factors, Osun State",2015,Prof. Obiora,Maternal & Child Health
Maternal Mortality Ratio and Causes of Death in Osun State Teaching Hospitals from 2015 to 2020,"maternal mortality, causes of death, teaching hospital, Osun State, ratio",2017,Dr. Adeyemi,Maternal & Child Health
Assessment of Infection Prevention and Control Practices in UNIOSUN Teaching Hospital Wards,"infection prevention, control practices, UNIOSUN, teaching hospital, wards",2017,Dr. Adeyemi,Infectious Diseases
Comparative Study of Assessment of Household Water Quality and Waterborne Disease Risk in Peri-Urban Osogbo Nigeria Among Residents of Boripe Local Government,"water quality, household, waterborne disease, peri-urban, Osogbo",2020,Dr. Nwachukwu,Environmental Health
A Descriptive Analysis of Impact of Free Maternal Health Policy on Antenatal Care Utilization in Osun State Nigeria Among Residents of Iwo Local Government,"maternal health policy, antenatal care, utilization, free health, Osun",2017,Prof. Onyeka,Health Policy
Longitudinal Investigation of Epidemiological Study of Eye Diseases and Visual Impairment Among Residents of Ife East Local Government,"eye diseases, visual impairment, adults, rural, Osun",2018,Dr. Folarin,Epidemiology
A Cross-Sectional Study of Stakeholder Perceptions of Universal Health Coverage Implementation in Osun State Nigeria Among Residents of Ilesha Local Government,"universal health coverage, stakeholders, perceptions, implementation, Nigeria",2018,Prof. Fasola,Health Policy
A Cross-Sectional Study of Multilevel Modelling of Determinants of Child Mortality in Southwest Nigerian Communities Among Residents of Ife North Local Government,"multilevel modelling, child mortality, determinants, Southwest Nigeria, biostatistics",2019,Prof. Adeleke,Biostatistics
A Cross-Sectional Study of Occupational Hazard Exposure and Health Outcomes Among Residents of Ede Local Government,"occupational hazard, automobile mechanics, health outcomes, exposure, Osogbo",2016,Dr. Adeyemi,Environmental Health
Hospital-Based Assessment of Political Determinants of Health Budget Allocation in Osun State Government Annual Estimates Among Residents of Ilesha Local Government,"health budget, political determinants, allocation, Osun State, government",2019,Dr. Nwachukwu,Health Policy
Longitudinal Investigation of Trend Analysis of Tuberculosis Case Notifications in Osun State Over a Ten-Year Period Among Residents of Ife South Local Government,"tuberculosis, trend analysis, case notification, Osun State",2015,Dr. Olayinka,Epidemiology
An Exploratory Analysis of Assessment of Health Sector Decentralization Policy Outcomes in Southwest Nigerian Local Governments Among Residents of Ife North Local Government,"decentralization, health sector, local government, policy outcomes, Nigeria",2021,Dr. Akindele,Health Policy
